Agent,Experiment,Avg Skill,Min Skill,Std Dev
DQN,Delta Only,0.9236190943246344,0.14453011837747892,0.17747083159851612
DQN,Accuracy Only,0.8706036783384385,0.09704815858705354,0.22615106964586182
DQN,Weak Avg Only,0.8531176322414484,0.07249579995444227,0.2625275372768273
DQN,Timer Only,0.9754451848768484,0.7227858262608852,0.05845745863111289
DQN,Std Dev Only,0.9204542234226146,0.10384974011435619,0.19111814226771723
DQN,Combined Reward,0.9766957632045437,0.7225445289956891,0.054664325114953685
PPO,Delta Only,0.9831655066776659,0.775946829272574,0.04344194062320719
PPO,Accuracy Only,0.8559098464222691,0.09001315230228173,0.26224173165317144
PPO,Weak Avg Only,0.9732056489797876,0.6902783004267221,0.0607182207670927
PPO,Timer Only,0.9891818182121366,0.845264720828585,0.029033044844989274
PPO,Std Dev Only,0.9962926987705076,0.9525454028253775,0.00858692953422489
PPO,Combined Reward,0.9787662063196265,0.7862065082507804,0.047431362449774916
